Time,sleep_predictions
2021-01-13 23:16:00.500,0.0
2021-01-13 23:16:30.500,0.0
2021-01-13 23:17:00.500,1.0
2021-01-13 23:17:30.500,0.0
2021-01-13 23:18:00.500,0.0
2021-01-13 23:18:30.500,0.0
2021-01-13 23:19:00.500,0.0
2021-01-13 23:19:30.500,0.0
2021-01-13 23:20:00.500,0.0
2021-01-13 23:20:30.500,0.0
2021-01-13 23:21:00.500,0.0
2021-01-13 23:21:30.500,0.0
2021-01-13 23:22:00.500,0.0
2021-01-13 23:22:30.500,0.0
2021-01-13 23:23:00.500,0.0
2021-01-13 23:23:30.500,0.0
2021-01-13 23:24:00.500,0.0
2021-01-13 23:24:30.500,0.0
2021-01-13 23:25:00.500,0.0
2021-01-13 23:25:30.500,0.0
2021-01-13 23:26:00.500,0.0
2021-01-13 23:26:30.500,0.0
2021-01-13 23:27:00.500,0.0
2021-01-13 23:27:30.500,1.0
2021-01-13 23:28:00.500,1.0
2021-01-13 23:28:30.500,1.0
2021-01-13 23:29:00.500,1.0
2021-01-13 23:29:30.500,1.0
2021-01-13 23:30:00.500,1.0
2021-01-13 23:30:30.500,1.0
2021-01-13 23:31:00.500,1.0
2021-01-13 23:31:30.500,1.0
2021-01-13 23:32:00.500,1.0
2021-01-13 23:32:30.500,1.0
2021-01-13 23:33:00.500,1.0
2021-01-13 23:33:30.500,1.0
2021-01-13 23:34:00.500,1.0
2021-01-13 23:34:30.500,1.0
2021-01-13 23:35:00.500,1.0
2021-01-13 23:35:30.500,0.0
2021-01-13 23:36:00.500,0.0
2021-01-13 23:36:30.500,0.0
2021-01-13 23:37:00.500,0.0
2021-01-13 23:37:30.500,1.0
2021-01-13 23:38:00.500,1.0
2021-01-13 23:38:30.500,1.0
2021-01-13 23:39:00.500,1.0
2021-01-13 23:39:30.500,1.0
2021-01-13 23:40:00.500,1.0
2021-01-13 23:40:30.500,1.0
2021-01-13 23:41:00.500,1.0
2021-01-13 23:41:30.500,1.0
2021-01-13 23:42:00.500,0.0
2021-01-13 23:42:30.500,0.0
2021-01-13 23:43:00.500,0.0
2021-01-13 23:43:30.500,0.0
2021-01-13 23:44:00.500,0.0
2021-01-13 23:44:30.500,0.0
2021-01-13 23:45:00.500,0.0
2021-01-13 23:45:30.500,0.0
2021-01-13 23:46:00.500,0.0
2021-01-13 23:46:30.500,0.0
2021-01-13 23:47:00.500,1.0
2021-01-13 23:47:30.500,1.0
2021-01-13 23:48:00.500,0.0
2021-01-13 23:48:30.500,0.0
2021-01-13 23:49:00.500,1.0
2021-01-13 23:49:30.500,0.0
2021-01-13 23:50:00.500,0.0
2021-01-13 23:50:30.500,0.0
2021-01-13 23:51:00.500,0.0
2021-01-13 23:51:30.500,0.0
2021-01-13 23:52:00.500,0.0
2021-01-13 23:52:30.500,0.0
2021-01-13 23:53:00.500,0.0
2021-01-13 23:53:30.500,0.0
